id,title
"59895","Can a Bash script tell which directory it is stored in?"
"638975","How do I tell if a regular file does not exist in bash?"
"4181703","How can I concatenate string variables in Bash?"
"818255","In the shell, what does "" 2>&1 "" mean?"
"965053","Extract filename and extension in Bash"
"229551","String contains in Bash"
"918886","How do I split a string on a delimiter in Bash?"
"592620","Check if a program exists from a Bash script"
"1358540","How to count all the lines of code in a directory recursively?"
"2518127","How do I reload .bashrc without logging out and back in?"
"8467424","Echo newline in Bash prints literal \n"
"876239","How can I redirect and append both stdout and stderr to a file with Bash?"
"226703","How do I prompt for input in a Linux shell script?"
"192249","How do I parse command line arguments in bash?"
"135688","Setting environment variables in OS X?"
"169511","How do I iterate over a range of numbers defined by variables in Bash?"
"356578","How to output MySQL query results in CSV format?"
"2264428","Converting string to lower case in Bash shell scripting"
"3601515","How to check if a variable is set in Bash?"
"4651437","How to set a variable equal to the output from a command in Bash?"
"2342826","How to pipe stderr, and not stdout?"
"1521462","Looping through the content of a file in Bash?"
"5947742","How to change the output color of echo in Linux"
"21186724","Why is whitespace sometimes needed around metacharacters?"
"5725296","Difference between sh and bash"
"7131670","Make bash alias that takes parameter?"
"255898","How to iterate over arguments in bash script"
"1250079","How to escape single-quotes within single-quoted strings?"
"2990414","echo that outputs to stderr"
"6482377","Check existence of input argument in a Bash shell script"
"6674327","Redirect all output to file"
"2188199","How to use double or single bracket, parentheses, curly braces"
"1158091","Defining a variable with or without export"
"4608187","How to reload .bash_profile from the command line?"
"762348","How can I exclude all ""permission denied"" messages from ""find""?"
"749544","Pipe to/from Clipboard"
"369758","How to trim whitespace from a Bash variable?"
"8880603","Loop through array of strings in bash script?"
"785519","How do I remove all .pyc files from a project?"
"1371261","Get current directory name (without full path) in Bash Script"
"14352290","Listing only directories using ls in bash: An examination"
"5163144","What are the special dollar sign shell variables?"
"3137094","How to count lines in a document?"
"733824","How to run a .sh-script in an Unix console/Mac terminal?"
"6212219","Passing parameters to a bash function"
"4565700","Specify private SSH-key to use when executing shell command with or without Ruby?"
"4822471","Count number of lines in a git repository"
"2953646","How to declare and use boolean variables in shell script?"
"7161821","How to 'grep' a continuous stream?"
"5171901","Sed command find and replace in file and overwrite file doesn't work, it empties the file"
"637827","Redirect stderr and stdout in a Bash script"
"9679776","How do I clear/delete the current line in terminal?"
"1583219","Awk/Sed: How to do a recursive find/replace of a string?"
"3258243","Check if pull needed in Git"
"2953081","How can I write a here doc to a file in Bash script?"
"1289026","Syntax for a single-line BASH infinite while loop"
"1951506","Bash: add value to array without specifying a key"
"3327013","How to determine the current shell I'm working on?"
"4824590","Propagate all arguments in a bash shell script"
"613572","Capturing multiple line output to a bash variable"
"5064563","Add line break to git commit -m from command line"
"10376206","What is the preferred Bash shebang?"
"1401482","YYYY-MM-DD format date in shell script"
"4774054","Reliable way for a bash script to get the full path to itself?"
"192319","How do I know the script file name in a Bash script?"
"418896","How to redirect output to a file and stdout"
"3510673","Find and kill a process in one line using bash and regex"
"392022","Best way to kill all child processes"
"2172352","In bash, how can I check if a string begins with some value?"
"428109","Extract substring in bash"
"806906","How do I test if a variable is a number in bash?"
"356100","How to wait in bash for several subprocesses to finish and return exit code !=0 when any subprocess ends with code !=0?"
"2237080","How to compare strings in Bash script"
"18568706","checking number of arguments bash script"
"4997693","Given two directory trees, how can I find out which files differ?"
"1885525","How do I prompt a user for confirmation in bash script?"
"692000","How do I write stderr to a file while using ""tee"" with a pipe?"
"307503","What's a concise way to check that environment variables are set in Unix shellscript?"
"14637979","How to permanently set $PATH on Linux?"
"339483","How can I remove the first line of a text file using bash/sed script?"
"3190818","Pass ALL Arguments from Bash Script to Another Command"
"2870992","Automatic exit from bash shell script on error"
"1092631","get current time in seconds since the Epoch on Linux, Bash"
"84882","sudo echo ""something"" >> /etc/privilegedFile doesn't work... is there an alternative?"
"2268104","Bash script variable declaration - command not found"
"10929453","Read a file line by line assigning the value to a variable"
"1955505","Parsing JSON with UNIX tools"
"3236871","How to return a string value from a bash function"
"4485059","Git/Bash is extremely slow in Windows 7 x64"
"8987037","How to kill all processes with a given partial name?"
"1767384","ls command: how can I get a recursive full-path listing, one line per file?"
"10586153","Split string into an array in Bash"
"821396","Aborting a shell script if any command returns a non-zero value?"
"6348902","How can I add numbers in a bash script"
"604864","Print a file skipping X lines in Bash"
"90418","Exit Shell Script Based on Process Exit Code"
"8748831","When do we need curly braces in variables using Bash?"
"947954","How to have the cp command create any necessary folders for copying a file to a destination"
"3811345","How to pass all arguments passed to my bash script to a function of mine?"
"1494178","How to define hash tables in bash?"
"238073","How to add a progress bar to a shell script?"
"125281","How do I remove the file suffix and path portion from a path string in Bash?"
"8352851","How to call shell script from another shell script?"
"394230","Detect the OS from a Bash script"
"820517",".bashrc at ssh login"
"981601","Colorized grep -- viewing the entire file with highlighted matches"
"1378274","In a bash script, how can I exit the entire script if a certain condition occurs?"
"1224766","How do I rename the extension for a batch of files?"
"385408","Get program execution time in the shell"
"669452","Is [[ ]] preferable over [ ] in bash scripts?"
"496702","Can a shell script set environment variables of the calling shell?"
"2500436","How does ` cat << EOF` work in bash?"
"192292","Bash: How _best_ to include other scripts?"
"1221833","bash: pipe output AND capture exit status"
"4111475","How to do a logical OR operation in Shell Scripting"
"2764051","How to join multiple lines of file names into one with custom delimiter?"
"8967902","Why do you need to put #!/bin/bash at the beginning of a script file?"
"6022384","bash tool to get nth line from a file"
"209470","Can I use Python as a Bash replacement?"
"17359","How do I send a file as an email attachment using Linux command line?"
"2920416","./configure : /bin/sh^M : bad interpreter"
"3915040","bash/fish command to print absolute path to a file"
"216995","How can I use inverse or negative wildcards when pattern matching in a unix/linux shell?"
"7739645","install mysql on ubuntu without password prompt"
"3349105","How to set current working directory to the directory of the script?"
"5367068","Clear a terminal screen for real"
"2314643","How can I get `find` to ignore .svn directories?"
"687948","Timeout a command in bash without unnecessary delay"
"2013547","Assigning default values to shell variables with a single command in bash"
"3224878","What is the purpose of the : (colon) GNU Bash builtin?"
"3096259","Bash command to sum a column of numbers"
"2016894","How to split a large text file into smaller files with equal number of lines?"
"7373752","How do I get cURL to not show the progress bar?"
"4277665","How do I compare two string variables in an 'if' statement in Bash?"
"1167746","How to assign a heredoc value to a variable in Bash?"
"29142","Getting ssh to execute a command in the background on target machine"
"19622198","What does set -e mean in a bash script?"
"1527049","Bash: Join elements of an array?"
"3061036","How to find whether or not a variable is empty in Bash script"
"525592","Find and Replace Inside a Text File from a Bash Command"
"1891797","Capturing Groups From a Grep RegEx"
"9057387","Process all arguments except the first one (in a bash script)"
"3968103","How can I format my grep output to show line numbers at the end of the line, and also the hit count?"
"878600","How to create cronjob using bash"
"1491514","Exclude .svn directories from grep"
"13210880","Replace one substring for another string in shell script"
"3112687","How to iterate over associative array in bash"
"43321","Worth switching to zsh for casual use?"
"1593051","How to programmatically determine the current checked out Git branch"
"8789729","How to zero pad a sequence of integers in bash so that all have the same width?"
"4510640","command-line - what is the purpose of ""&&""?"
"5119946","find -exec with multiple commands"
"816820","use space as a delimiter with cut command"
"4419952","Difference between return and exit in BASH functions"
"9381463","How to create a file in Linux from terminal window?"
"407523","Escape a string for a sed replace pattern"
"13593771","Linux repeat command automatically"
"3685970","Check if an array contains a value"
"5195607","Checking Bash exit status of several commands efficiently"
"5130847","Shell - Multiple commands in one line"
"158044","How to use 'find' to search for files created on a specific date?"
"171924","How do I check syntax in bash without running the script?"
"3953645","Ternary operator (?:) in Bash"
"1356827","Bash script plugin for Eclipse?"
"12298368","How to extract tar.xz files in Linux?"
"6121091","Get file directory path from filepath"
"68372","What is your single most favorite command-line trick using Bash?"
"2135478","How to simulate the environment cron executes a script with?"
"7526971","How to redirect both stdout and stderr to a file"
"296536","How to urlencode data for curl command?"
"10856129","Setting an environment variable before a command in bash not working for second command in a pipe"
"3173131","redirect COPY of stdout to log file from within bash script itself"
"4143252","How to make the 'cut' command treat several sequential delimiters as one?"
"3362920","Get just the filename from a path in a Bash script"
"2613800","How to convert DOS/Windows newline (CRLF) to Unix newline (\n) in bash script?"
"2664740","Extract File Basename Without Path and Extension in Bash"
"6697753","Difference between single and double quotes in bash"
"17368067","Length of string in bash"
"4749330","How to test if string exists in file with Bash shell?"
"13046192","changing default shell in linux"
"7665","How to resolve symbolic links in a shell script"
"617182","With Bash Scripting, how can I suppress all output from a command?"
"4561895","How to recursively find the latest modified file in a directory?"
"9392735","Linux how to copy but not overwrite?"
"64786","Error handling in BASH"
"6205157","iterm2: how to get jump to beginning/end of line in bash shell?"
"5927369","Recursively look for files with a specific extension"
"16623835","bash - remove a fixed prefix/suffix from a string"
"4509624","How to limit depth for recursive file list?"
"11231937","Bash ignoring error for a particular command"
"6958689","xargs with multiple commands as argument"
"22620393","Various ways to remove local Git changes"
"537942","How to list running screen sessions?"
